date,depth,DIP,DIN,TP,TN,NO3,DSi,chla,DO,cond,env,dataset,DIN.DIP,TN.TP,season,lon,lat,region,water_level_m
2016-09-01,surface,0.0730008612603306,11.6094796046488,,,9.20840371115703,136.587350583419,,,,river_tributary,holtgrieve,159.032090912569,,high,103.40446,13.59149,,4.44
2016-09-01,surface,0.0846198151084711,1.31392270932335,,,0.473374751807851,143.149096910421,,,,river_tonlesap,holtgrieve,15.5273644552293,,high,,,,4.44
2020-03-20,surface,,,10.6541791938021,1742.02346020119,,367.816551079067,14.71,0.4,,pelagic,heu,,163.506116098984,low,104.455062709747,12.5112395592566,South,0.735
2020-11-15,surface,,,15.4969879182577,135.649367802552,,184.740439682246,2.506,6.157,,pelagic,heu,,8.75327312107777,high,104.455062709747,12.5112395592566,South,5.71
2020-03-20,surface,,,3.87424697956441,264.159295194443,,339.522970226831,2.76,5.37,,pelagic,heu,,68.1833906273428,low,104.443477217427,12.5156998004564,South,0.735
2020-11-15,surface,,,3.22853914963701,271.298735605103,,174.754469969693,1.627,6.769,,pelagic,heu,,84.0314219623465,high,104.443477217427,12.5156998004564,South,5.71
2020-03-20,surface,,,20.9855044726406,114.23104657057,,304.572076232893,1.71,3.93,,pelagic,heu,,5.443330977318,low,104.480556074849,12.5420926354889,South,0.735
2020-11-15,surface,,,7.10278612920142,228.46209314114,,188.069096253098,1.414,6.136,,pelagic,heu,,32.1651375932428,high,104.480556074849,12.5420926354889,South,5.71
2020-03-20,surface,,,14.2055722584028,1513.56136706005,,324.544015658,2.22,5.575,,pelagic,heu,,106.547018277617,low,104.507999771287,12.5688033822463,South,0.735
2020-11-15,surface,,,4.51995480949182,328.414258890388,,134.810591119477,0.872,5.094,,pelagic,heu,,72.6587483133071,high,104.507999771287,12.5688033822463,South,5.71
2020-03-20,surface,,,13.5598644284754,385.529782175673,,319.551030801724,4.03,5.775,,pelagic,heu,,28.4316841225986,low,104.474480469167,12.5173685926785,South,0.735
2020-11-15,surface,,,2.90568523467331,242.740973962461,,184.740439682246,1.401,6.721,,pelagic,heu,,83.5400101380054,high,104.474480469167,12.5173685926785,South,5.71
2020-03-20,surface,,,6.77993221423772,371.250901354352,,281.271480236934,4.015,6.295,,pelagic,heu,,54.757317569449,low,104.492848236501,12.5092407839757,South,0.735
2020-11-15,surface,,,6.13422438431032,349.83258012237,,191.397752823949,1.549,6.777,,pelagic,heu,,57.0296354038086,high,104.492848236501,12.5092407839757,South,5.71
2020-03-20,surface,,,14.8512800883302,771.059564351346,,316.222374230872,4.795,5.695,,pelagic,heu,,51.9187275282235,low,104.445780934241,12.5397056944967,South,0.735
2020-11-15,surface,,,4.84280872445552,314.135378069067,,186.404767967672,1.334,6.601,,pelagic,heu,,64.8663608130394,high,104.445780934241,12.5397056944967,South,5.71
2020-03-20,surface,,,10.0084713638747,449.784745871619,,316.222374230872,2.37,4.095,,pelagic,heu,,44.9404039357204,low,104.448870839027,12.5145275939519,South,0.735
2020-11-15,surface,,,7.74849395912883,285.577616426424,,233.00595995959,1.683,6.723,,pelagic,heu,,36.8558868255905,high,104.448870839027,12.5145275939519,South,5.71
2020-03-20,surface,,,13.2370105135117,878.151170511255,,311.229389374595,2.55,5.1,,pelagic,heu,,66.3405962860633,low,104.455565632728,12.5153655070463,South,0.735
2020-11-15,surface,,,6.45707829927402,278.438176015764,,166.432828542564,1.742,6.725,,pelagic,heu,,43.121387585941,high,104.455565632728,12.5153655070463,South,5.71
2020-03-20,surface,,,8.07134787409253,685.386279423419,,322.879687372575,4.98,3.46,,pelagic,heu,,84.9159632461608,low,104.45463012865,12.5136293276662,South,0.735
2020-11-15,surface,,,3.22853914963701,207.043771909158,,164.768500257139,2.056,5.559,,pelagic,heu,,64.1292430765278,high,104.45463012865,12.5136293276662,South,5.71
